2	134	"contrary topopular belief, polo is not &quot;gangster&quot;."
4	158	"we get it, you like to drink. no one needs to hear you repeat it four times a day."
7	983	"bitches love smiley faces."
1	2508	"there's a 99% chance that you're awesome. act like it."
10	64	"if you have to try to impress people, i'm afraid I have some bad news."
11	188	"remember that your past is just that. the future is going to be delicious, bro. embrace it."
13	768	"if you like someone, say it. don't spend your time fantasizing about something that could be reality."
17	111	"&quot;i'm nice but girls won't date me&quot;. doing something nice to get something in return is called being manipulative. grow a pair."
15	89	"relationships are like dancing. girls like a guy who can lead. take teasing steps away and let her find her way to you. "
3	197	"if you notice that her inbox is always cleared, perhaps you should reconsider her honesty."
6	184	"if you don't stand by your standards, you don't have any."
9	686	"man the fuck up."
8	167	"don't be so reserved. she's not going to flirt with a brick wall all night."
19	142	"who's your best friend of the same gender? would you bang this person? no?you finally understand the friend zone. move on."
5	76	"if you feel smugly superior because you've been on tumblr since before it was promoted, you should probably find a hobby."
21	112	"chicks dig guys that understand them, but not ones that act like them. know the difference."
22	77	"we all know that person that's way too happy in a relationship and miserable single. if not, you are that person, and you're annoying."
24	45	"always trying to go against what people tell you gives them the same amount of control over you."
23	590	"live every day like you're glen coco."
26	781	"one of the biggest violations of the bro code is to hit your girlfriend. that is never okay. ever."
27	360	"the quiet ones are the kinkiest."
14	238	"she's gonna fuck somebody. so why not you?"
12	184	"expect to meet your soulmate every time you walk through your door. one day, you will."
16	75	"don't hook up with virgins. they don't need you irreversibly altering their lives and you don't need them followingyou around for two years."
33	53	"we get it, you're straight edge. shut the fuck up about it."
32	171	"don't be that guy."
34	120	"the only acceptable reason to let anyone tell you when or what to shave is if they're putting their mouth there immediately afterwards."
20	340	"they say they like nerds? that means they like attractive people in glasses. don't break out the yu-gi-oh cards just yet."
25	215	"if she cheated with you, she'll cheat on you."
18	45	"pick one day of the week where you commit to not doing anything."
31	107	"use a condom. like, just do it."
28	872	"be careful what you wish for, bro. remember, simba &quot;just couldn't wait to be king&quot;, then his dad got fucking DEALT with."
29	51	"even the coolest status can be made uncool by ending it in &quot;text ittt.&quot;"
30	96	"if you talk shit about all your friends, you eventually won't have any to talk shit about. "
41	71	"you're not successful when people tell you that you're awesome. it's when they start to hate that you know you have their attention."
35	93	"very few people have only loved one person. i swear there will be others in your life"
39	174	"don't do shit to be cool. do shit because you are cool."
44	44	"real recognizes real. stop and consider how many of your friends are starting to look &quot;unfamiliar&quot;."
47	227	"don't look at it as casual sex. look at it as you helping your friend have an orgasm. "
46	144	"if someone comes up to you and goes, &quot;no offense, but...&quot; prepare to be REALLY fucking offended."
48	15	"if sarcasm is the bottom level of wit, irony is subterranean. doing things that aren't cool to be cool is lazy, not clever."
37	107	"once you graduate, move. being 21 and still hanging around high school is onlyokay if you're the janitor."
36	49	"be able to differentiate those who appreciate your beauty and those who want to take advantage of it."
49	81	"do something for the first time every day."
50	22	"playing guitar in public will never not make youa douchebag."
40	116	"try not to push it. have patience and give it time to work out. this advice applies to almost any situation."
38	196	"smiling suppresses the gag reflex.ladies."
53	63	"fear words in groups of four. see: &quot;we need to talk&quot;, &quot;i missed my period&quot;, &quot;i just got saved&quot;."
42	112	"before you do anything else today, learn how to open a bra.you're welcome."
43	175	"stop dating your bros' exes. if you want their aftertaste that badly, you can just go blow them and get it fresh from the source."
52	37	"a lot of things that you think will make you a badass will make you a statistic. choose your battles, bro."
51	453	"if you're walking in a group of three and there isn't enough room for all of you, walk in front of them, not behind them. alpha as fuck."
45	74	"you don't listen to enough music."
56	167	"confidence is always key, regardless of what situation you're in. if you believe you've got swagg, so will everyone else. "
59	0	"chivalry? new concept: chill-vary. if she's worth it, you be worth it. but guys who are always mr. white knight are tools."
60	100	"protect what's yours. "
62	411	"respect the currency exchange rate. an 8 at the bar is a 7 at the club, which is always a 10 at your apartment but might be a 3 the next morning. "
